t_ns,id,duration_ns
4763856,step.compute,832482
4823027,step.service,892935
278024744,step.compute,232406
278031437,step.service,240190
809731844,step.compute,161543
809736303,step.service,167334
830210117,step.compute,351620
830216439,step.service,359764
850201968,step.compute,301796
850208911,step.service,311875
870041963,step.compute,249639
870047504,step.service,257082
889811537,step.compute,192591
889819081,step.service,202159
910589562,step.compute,325511
910598449,step.service,336251
930779604,step.compute,226986
930787519,step.service,237946
950643625,step.compute,239248
950648524,step.service,245811
970531911,step.compute,241412
970538874,step.service,250390
990485560,step.compute,430517
990493685,step.service,440897
1009857848,step.compute,167945
1009863950,step.service,176441
1030325742,step.compute,369764
1030333867,step.service,379892
1050158875,step.compute,236694
1050163844,step.service,243466
1073836789,step.compute,204764
1073842129,step.service,211767
1090142285,step.compute,351730
1090147875,step.service,359555
1110460868,step.compute,181159
1110465838,step.service,187862
1129992336,step.compute,161603
1129997355,step.service,167884
1149948670,step.compute,256060
1149954040,step.service,263204
1169804516,step.compute,253736
1169809475,step.service,260830
1189751052,step.compute,165350
1189756251,step.service,172223
1210102797,step.compute,234319
1210107897,step.service,288892
1230020850,step.compute,166292
1230027041,step.service,174157
1249961384,step.compute,286107
1249966083,step.service,292879
1269818793,step.compute,159770
1269823682,step.service,166222
1289857221,step.compute,160381
1289861890,step.service,166593
1309804609,step.compute,290034
1309809899,step.service,296957
1330435288,step.compute,376546
1330443974,step.service,388389
1350047266,step.compute,316043
1350052015,step.service,322295
1369970088,step.compute,165781
1369975448,step.service,172794
1389719303,step.compute,177803
1389724934,step.service,185287
1410122326,step.compute,167143
1410127485,step.service,174557
1429965017,step.compute,262863
1429970898,step.service,322635
1450199412,step.compute,332494
1450205033,step.service,339637
1470037936,step.compute,331863
1470045229,step.service,341080
1490381616,step.compute,211346
1490387477,step.service,219692
1510434321,step.compute,282991
1510439792,step.service,290515
1529877132,step.compute,197871
1529883144,step.service,205435
1550076743,step.compute,285816
1550081843,step.service,292789
1569844113,step.compute,179727
1569849583,step.service,187422
1590020790,step.compute,305734
1590025920,step.service,312817
1609705124,step.compute,167184
1609710374,step.service,173946
1629975418,step.compute,231394
1629980477,step.service,238107
1650475041,step.compute,308870
1650482966,step.service,320241
1669984126,step.compute,233408
1669989196,step.service,240080
1690339469,step.compute,305553
1690346031,step.service,314771
1709954643,step.compute,179607
1709961276,step.service,187902
1730290890,step.compute,170800
1730310276,step.service,192822
1750571763,step.compute,269476
1750577273,step.service,332213
1769995438,step.compute,241924
1770000718,step.service,248667
1790403510,step.compute,286858
1790408619,step.service,293841
1809713652,step.compute,163557
1809718621,step.service,170701
1829984085,step.compute,160892
1829988914,step.service,167224
1849964695,step.compute,338986
1849970356,step.service,346360
1870042738,step.compute,163878
1870047426,step.service,170219
1889911067,step.compute,299713
1889916146,step.service,308369
1910009477,step.compute,165561
1910014457,step.service,172383
1930378987,step.compute,354955
1930385910,step.service,363812
1949963403,step.compute,283462
1949968864,step.service,290605
1970048900,step.compute,229851
1970054130,step.service,236974
1989851666,step.compute,175199
1989857317,step.service,182823
2009999259,step.compute,241092
2010004108,step.service,247745
2029986561,step.compute,357070
2029992242,step.service,364223
2049903933,step.compute,244158
2049909874,step.service,252143
2070044532,step.compute,225313
2070049502,step.service,231965
2090197786,step.compute,176972
2090203807,step.service,185157
2109874907,step.compute,290545
2109881098,step.service,300213
2130108481,step.compute,383710
2130115354,step.service,395252
2150153943,step.compute,259036
2150159023,step.service,266309
2170033454,step.compute,292980
2170038363,step.service,299562
2190108270,step.compute,337844
2190115574,step.service,347231
2209953437,step.compute,165971
2209958576,step.service,173496
2230236143,step.compute,342403
2230243096,step.service,399078
2250101347,step.compute,254808
2250107829,step.service,263564
2269994804,step.compute,214091
2269999823,step.service,221004
2289837966,step.compute,235763
2289843917,step.service,244249
2310007120,step.compute,166051
2310012330,step.service,172824
2330154873,step.compute,180529
2330161025,step.service,188344
2349819220,step.compute,295785
2349824741,step.service,302878
2370120833,step.compute,249588
2370126163,step.service,257493
2390030239,step.compute,290325
2390036471,step.service,298480
2409792450,step.compute,193533
2409798150,step.service,201478
2430012930,step.compute,191389
2430018079,step.service,198292
2450240934,step.compute,542828
2450250913,step.service,555091
2469720154,step.compute,165801
2469724953,step.service,172153
2490122285,step.compute,312606
2490129498,step.service,322645
2509908851,step.compute,165771
2509914281,step.service,173114
2529910891,step.compute,246924
2529916902,step.service,255289
2549761477,step.compute,167234
2549768060,step.service,175239
2569997827,step.compute,157956
2570002957,step.service,164568
2589887497,step.compute,168206
2589892436,step.service,174798
2609996838,step.compute,214563
2610001898,step.service,222046
2629755302,step.compute,188764
2629760972,step.service,195968
2649705054,step.compute,171121
2649710424,step.service,177813
2669826498,step.compute,235472
2669832570,step.service,244739
2689891186,step.compute,273243
2689897147,step.service,281618
2709823295,step.compute,173245
2709829587,step.service,181160
2729889075,step.compute,184736
2729894956,step.service,192742
2750195627,step.compute,242916
2750201368,step.service,251071
2769988966,step.compute,184356
2769994356,step.service,191990
2789977801,step.compute,256030
2789983562,step.service,263525
2809794444,step.compute,160892
2809799704,step.service,167885
2829680196,step.compute,162575
2829684895,step.service,169057
2849728944,step.compute,163136
2849733713,step.service,169938
2869912866,step.compute,169098
2869917665,step.service,175700
2889900669,step.compute,162945
2889905769,step.service,170720
2909797973,step.compute,160581
2909803523,step.service,168115
2929909348,step.compute,174818
2929914739,step.service,182052
2949929282,step.compute,162194
2949934472,step.service,169428
2969685882,step.compute,159109
2969690521,step.service,165621
2989860837,step.compute,185508
2989866788,step.service,193734
3009757870,step.compute,169589
3009763691,step.service,177663
3030051678,step.compute,170149
3030057739,step.service,178275
3049721385,step.compute,165510
3049726264,step.service,172023
3069685775,step.compute,160901
3069691035,step.service,167564
3089995202,step.compute,189887
3090001193,step.service,199574
3109855667,step.compute,164960
3109860786,step.service,171853
3129828943,step.compute,215174
3129834363,step.service,222678
3149783094,step.compute,179587
3149788454,step.service,186530
3169728669,step.compute,157195
3169733538,step.service,164699
3189839664,step.compute,189215
3189847088,step.service,199494
3209838248,step.compute,219221
3209845251,step.service,227857
3229894481,step.compute,184425
3229899811,step.service,191790
3249846878,step.compute,194705
3249852028,step.service,201738
3269939990,step.compute,278793
3269947604,step.service,289322
3289970253,step.compute,258295
3289976125,step.service,266460
3309987573,step.compute,283713
3309993404,step.service,292078
3329826187,step.compute,177954
3329831908,step.service,186099
3350441578,step.compute,915156
3350450495,step.service,925476
3370106226,step.compute,159860
3370111035,step.service,166302
3389870862,step.compute,178495
3389877424,step.service,186499
3410000211,step.compute,180378
3410006463,step.service,188904
3429796566,step.compute,167113
3429802587,step.service,174988
3449786724,step.compute,158567
3449791684,step.service,164729
3469658401,step.compute,158487
3469662989,step.service,164519
3489970643,step.compute,259948
3489976374,step.service,268654
3510021586,step.compute,246562
3510027567,step.service,254818
3529870148,step.compute,175199
3529875999,step.service,183064
3549987435,step.compute,159018
3549992074,step.service,164989
3569917982,step.compute,160080
3569922991,step.service,167003
3589840544,step.compute,220964
3589845783,step.service,228148
3609824460,step.compute,161984
3609829249,step.service,168416
3630070028,step.compute,183604
3630075548,step.service,191289
3649974946,step.compute,161874
3649979595,step.service,168987
3669778094,step.compute,159550
3669783164,step.service,166112
3690134570,step.compute,214913
3690140581,step.service,223419
3709917329,step.compute,199244
3709922699,step.service,206287
3730093226,step.compute,171141
3730099548,step.service,179957
3749795184,step.compute,162385
3749800023,step.service,169508
3769682399,step.compute,168195
3769687589,step.service,175439
3789834261,step.compute,210164
3789838819,step.service,216827
3809801396,step.compute,170039
3809806686,step.service,178424
3829832471,step.compute,164308
3829837130,step.service,170740
3849857886,step.compute,161363
3849862795,step.service,168005
3869827856,step.compute,158678
3869832485,step.service,164799
3890000768,step.compute,210946
3890006318,step.service,219121
3909757037,step.compute,160812
3909762027,step.service,167554
3929965936,step.compute,170370
3929970865,step.service,177443
3949841149,step.compute,162084
3949845757,step.service,168436
3969871352,step.compute,159499
3969876101,step.service,166683
3989914731,step.compute,166653
3989919690,step.service,173465
4009862219,step.compute,170600
4009868180,step.service,178214
4029856144,step.compute,174638
4029861685,step.service,182032
4050157767,step.compute,237296
4050164159,step.service,246733
4069981884,step.compute,159720
4069986272,step.service,165471
4089810019,step.compute,177604
4089854322,step.service,223850
4109977570,step.compute,173826
4109982730,step.service,180859
4130035446,step.compute,173545
4130040165,step.service,180879
4149974869,step.compute,159590
4149979889,step.service,165801
4170206732,step.compute,162124
4170213033,step.service,170049
4190017604,step.compute,208361
4190022954,step.service,215394
4209952690,step.compute,169959
4209958490,step.service,177794
4230046713,step.compute,176310
4230052013,step.service,183223
4249871341,step.compute,340108
4249879296,step.service,349626
4269975103,step.compute,158588
4269979862,step.service,164980
4289790905,step.compute,164328
4289795854,step.service,171833
4310047363,step.compute,200195
4310053555,step.service,209212
4329913610,step.compute,163236
4329918058,step.service,169068
4349964082,step.compute,166262
4349968741,step.service,172534
4369788670,step.compute,168526
4369793920,step.service,175930
4389907961,step.compute,171963
4389914203,step.service,179928
4409905674,step.compute,218731
4409913489,step.service,228669
4430110976,step.compute,188995
4430116397,step.service,195938
4449906951,step.compute,173445
4449912862,step.service,182051
4469698748,step.compute,162164
4469703747,step.service,168706
4489749530,step.compute,176912
4489754710,step.service,183765
4510001109,step.compute,165030
4510006329,step.service,171752
4530137793,step.compute,170790
4530143193,step.service,178184
4549880488,step.compute,174758
4549885357,step.service,181661
4569873902,step.compute,162054
4569879002,step.service,168395
4589806864,step.compute,174728
4589812054,step.service,181671
4609735417,step.compute,174667
4609740487,step.service,181971
4629944637,step.compute,162855
4629949897,step.service,169858
4649735522,step.compute,167735
4649740291,step.service,174086
4669991299,step.compute,158857
4669996789,step.service,165650
4689682497,step.compute,164598
4689687536,step.service,171863
4709775038,step.compute,163507
4709780137,step.service,170139
4729992824,step.compute,161984
4729997703,step.service,168296
4750011827,step.compute,160611
4750017046,step.service,167194
4769988851,step.compute,158257
4769993519,step.service,164859
4789726275,step.compute,162805
4789731205,step.service,169718
4809705163,step.compute,181100
4809710293,step.service,187752
4829741378,step.compute,173114
4829746798,step.service,180238
4849823059,step.compute,185108
4849828840,step.service,193042
4869904419,step.compute,160892
4869910069,step.service,168116
4889827321,step.compute,164859
4889833423,step.service,172644
4909754492,step.compute,163857
4909760032,step.service,170901
4929684368,step.compute,173465
4929690409,step.service,181561
4949743736,step.compute,156273
4949748425,step.service,162666
4969690684,step.compute,155672
4969695463,step.service,161994
4989843167,step.compute,171622
4989848247,step.service,178014
5009746403,step.compute,195678
5009752024,step.service,203321
5030070909,step.compute,245150
5030076820,step.service,252464
5049791152,step.compute,184066
5049797103,step.service,191980
5069850911,step.compute,166282
5069856321,step.service,173475
5090113531,step.compute,180368
5090119662,step.service,188995
5109774332,step.compute,162805
5109779482,step.service,169248
5129721350,step.compute,166793
5129726921,step.service,173706
5150000281,step.compute,287710
5150006974,step.service,295694
5169758044,step.compute,165941
5169763464,step.service,173836
5189999855,step.compute,166773
5190005716,step.service,174087
5209726170,step.compute,168746
5209731730,step.service,176231
5229723833,step.compute,198002
5229731517,step.service,207659
5250035956,step.compute,166923
5250040825,step.service,174287
5269876845,step.compute,159770
5269881464,step.service,165881
5290106484,step.compute,194184
5290111663,step.service,201007
5310214354,step.compute,297909
5310222248,step.service,308328
5329879493,step.compute,165009
5329885224,step.service,172874
5349886975,step.compute,161332
5349891543,step.service,167404
5369797935,step.compute,162525
5369803295,step.service,169378
5389815526,step.compute,187682
5389821397,step.service,195577
5410023724,step.compute,161934
5410028814,step.service,169598
5429969350,step.compute,165180
5429974530,step.service,171882
5450049758,step.compute,162796
5450054337,step.service,169808
5469691634,step.compute,156604
5469696113,step.service,162214
5490236484,step.compute,257483
5490242766,step.service,266069
5509762492,step.compute,198322
5509767652,step.service,205065
5529916208,step.compute,166092
5529921809,step.service,173385
5549721260,step.compute,158127
5549726310,step.service,164709
5569839570,step.compute,156704
5569844509,step.service,163988
5589949243,step.compute,211576
5589954864,step.service,219031
5609949541,step.compute,162885
5609955292,step.service,169978
5630109068,step.compute,175199
5630114448,step.service,182252
5649857364,step.compute,160010
5649862383,step.service,167354
5669688675,step.compute,162926
5669693444,step.service,169608
5689862088,step.compute,160041
5689867107,step.service,167064
5709846677,step.compute,157635
5709851756,step.service,164037
5730247737,step.compute,158197
5730252706,step.service,165099
5749685570,step.compute,160781
5749690449,step.service,166913
5769719321,step.compute,155291
5769724340,step.service,161673
5789896511,step.compute,156454
5789901260,step.service,162765
5809746677,step.compute,157957
5809751677,step.service,164869
5829910081,step.compute,160401
5829915051,step.service,167124
5849926239,step.compute,158447
5849931209,step.service,164649
5869797706,step.compute,157595
5869802725,step.service,164158
5889918210,step.compute,154750
5889923019,step.service,161343
5909842796,step.compute,160651
5909847825,step.service,167273
5929688103,step.compute,158367
5929693513,step.service,165010
5949904787,step.compute,155943
5949909326,step.service,162134
5969871532,step.compute,166442
5969877163,step.service,173886
5989695800,step.compute,170860
5989701341,step.service,178565
6009731675,step.compute,162374
6009736364,step.service,168666
6029885041,step.compute,180498
6030007961,step.service,306084
6049952575,step.compute,162626
6049958115,step.service,170270
6069946421,step.compute,173275
6069951521,step.service,180459
6089688325,step.compute,158537
6089726336,step.service,198152
6110197898,step.compute,217278
6110204571,step.service,226645
6130440201,step.compute,195146
6130445180,step.service,202519
6150718060,step.compute,160902
6150722789,step.service,167043
6169991836,step.compute,159919
6169997246,step.service,166702
6189771020,step.compute,166542
6189776620,step.service,173285
6210064268,step.compute,163657
6210071060,step.service,172203
6229983484,step.compute,160692
6229988383,step.service,166783
6249918791,step.compute,157485
6249923820,step.service,163827
6269717191,step.compute,156464
6269721930,step.service,162716
6289756482,step.compute,201208
6289761642,step.service,208931
6309742835,step.compute,167474
6309747483,step.service,173435
6330029200,step.compute,159419
6330034800,step.service,166282
6349788797,step.compute,159830
6349793476,step.service,165510
6370141707,step.compute,157355
6370146135,step.service,163487
6390067215,step.compute,155171
6390071744,step.service,161052
6410036486,step.compute,157576
6410041174,step.service,163687
