t_ns,id,duration_ns
12322245872,step.compute,74082381
12333209474,step.service,86006896
12985922228,step.compute,5652066
12986557540,step.service,6349043
13178932453,step.compute,3722054
13179462067,step.service,4282967
13379914748,step.compute,4658291
13380493905,step.service,5264709
13577150242,step.compute,2869995
13577718058,step.service,3478868
13777324474,step.compute,2283946
13777813742,step.service,2795575
13977062167,step.compute,2064194
13977590869,step.service,2611200
14177290991,step.compute,2333389
14177909942,step.service,2972137
14377136336,step.compute,2393862
14377610365,step.service,2883060
14575304013,step.compute,1511206
14575636457,step.service,1860732
14776569486,step.compute,1798295
14776986077,step.service,2250523
14975485550,step.compute,1479316
14975895890,step.service,1909844
15178140290,step.compute,2371841
15178560659,step.service,2810725
15376393140,step.compute,1733273
15376754528,step.service,2112574
15575052563,step.compute,1499864
15575373916,step.service,1835013
15775688037,step.compute,1157782
15776049796,step.service,1532305
15976666675,step.compute,2034818
15976965035,step.service,2356341
16175604955,step.compute,1061903
16175822864,step.service,1290993
16375731444,step.compute,1162391
16375976945,step.service,1422339
16576118513,step.compute,1596837
16576377399,step.service,1866693
16775813936,step.compute,1219789
16776060439,step.service,1483253
16975942843,step.compute,1310990
16976356610,step.service,1745055
17175528591,step.compute,1000507
17175772469,step.service,1254374
17375545428,step.compute,927450
17375957171,step.service,1368649
17575506321,step.compute,1070569
17575819448,step.service,1391010
17775757801,step.compute,1242702
17776050631,step.service,1546913
17975284041,step.compute,859032
17975561071,step.service,1143095
18175272578,step.compute,837451
18175513210,step.service,1085547
18375303264,step.compute,874681
18375510463,step.service,1089164
18575342668,step.compute,910519
18575545138,step.service,1121736
18775587038,step.compute,1123688
18775876922,step.service,1423431
18975279864,step.compute,774093
18975504075,step.service,1006259
19175596761,step.compute,1021617
19175859474,step.service,1299960
19375458433,step.compute,1033569
19375690409,step.service,1275584
19575586416,step.compute,1095997
19575853738,step.service,1373838
19775397848,step.compute,913585
19775626878,step.service,1170467
19975227965,step.compute,785294
19975444331,step.service,1011959
20175247637,step.compute,849444
20175501574,step.service,1113139
20375227054,step.compute,853341
20375538979,step.service,1174654
20575346324,step.compute,962556
20575635657,step.service,1262820
20775211540,step.compute,796394
20775481857,step.service,1081770
20975251304,step.compute,873319
20975537180,step.service,1168433
21175162215,step.compute,744086
21175371288,step.service,963548
21375514886,step.compute,1031325
