t_ns,id,duration_ns
6627300,step.native.call,958800
7115500,step.native.parse,481800
279822800,step.native.call,244400
279839600,step.native.parse,16600
279860600,step.unity.e2e,284400
811527200,step.native.call,170900
811536600,step.native.parse,9200
811547800,step.unity.e2e,191700
832007600,step.native.call,364000
832028100,step.native.parse,20300
832049600,step.unity.e2e,406600
852000000,step.native.call,316300
852014500,step.native.parse,14400
852038100,step.unity.e2e,354800
871838500,step.native.call,261400
871853100,step.native.parse,14400
871874000,step.unity.e2e,297200
891610000,step.native.call,206200
891753000,step.native.parse,142900
891766900,step.unity.e2e,363400
912390300,step.native.call,342100
912545200,step.native.parse,154700
912573300,step.unity.e2e,525400
932578900,step.native.call,242900
932604500,step.native.parse,25400
932627000,step.unity.e2e,291400
952439700,step.native.call,250100
952469400,step.native.parse,29600
952489500,step.unity.e2e,300100
972330400,step.native.call,256500
972345600,step.native.parse,15000
973043600,step.unity.e2e,970200
992285300,step.native.call,445500
992315600,step.native.parse,30100
992336300,step.unity.e2e,496800
1011654700,step.native.call,180600
1011662500,step.native.parse,7600
1011675600,step.unity.e2e,201700
1032125600,step.native.call,384500
1032139700,step.native.parse,13900
1032156800,step.unity.e2e,415900
1051954900,step.native.call,247700
1051962900,step.native.parse,7900
1051977200,step.unity.e2e,270300
1075633000,step.native.call,215600
1075641700,step.native.parse,8600
1075654400,step.unity.e2e,237700
1091939000,step.native.call,363900
1091947700,step.native.parse,8500
1091961200,step.unity.e2e,386500
1112256700,step.native.call,191300
1112264600,step.native.parse,7800
1112277400,step.unity.e2e,212200
1131788200,step.native.call,171300
1131798500,step.native.parse,10200
1131812600,step.unity.e2e,196000
1151745100,step.native.call,267500
1151754400,step.native.parse,9200
1151767400,step.unity.e2e,290000
1171600400,step.native.call,264600
1171613900,step.native.parse,13300
1171634500,step.unity.e2e,298900
1191547100,step.native.call,175600
1191565200,step.native.parse,18000
1191579300,step.unity.e2e,208100
1211899200,step.native.call,292600
1211911600,step.native.parse,12300
1211926300,step.unity.e2e,320300
1231818200,step.native.call,178400
1231831000,step.native.parse,12700
1231849300,step.unity.e2e,209700
1251757000,step.native.call,296800
1251768800,step.native.parse,11700
1251782000,step.unity.e2e,322000
1271614600,step.native.call,169400
1271623700,step.native.parse,9000
1271635700,step.unity.e2e,190800
1291652700,step.native.call,170000
1291663800,step.native.parse,11000
1291676600,step.unity.e2e,194200
1311600900,step.native.call,300700
1311613300,step.native.parse,12300
1311628200,step.unity.e2e,328400
1332235900,step.native.call,394400
1332265300,step.native.parse,29100
1332288400,step.unity.e2e,447300
1351842900,step.native.call,325600
1351853300,step.native.parse,10300
1351866500,step.unity.e2e,349500
1371766300,step.native.call,176200
1371774000,step.native.parse,7500
1371792900,step.unity.e2e,203000
1391515800,step.native.call,189100
1391523900,step.native.parse,8000
1391536600,step.unity.e2e,210100
1411918600,step.native.call,179100
1411931000,step.native.parse,12300
1411943600,step.unity.e2e,204300
1431761900,step.native.call,326600
1431772300,step.native.parse,10300
1431791100,step.unity.e2e,356200
1451996100,step.native.call,343600
1452009200,step.native.parse,13000
1452023900,step.unity.e2e,371600
1471837000,step.native.call,345800
1471852300,step.native.parse,15100
1471878900,step.unity.e2e,388000
1492178600,step.native.call,223700
1492187900,step.native.parse,9100
1492204600,step.unity.e2e,250000
1512230800,step.native.call,294500
1512251000,step.native.parse,20100
1512266000,step.unity.e2e,330000
1531674200,step.native.call,209500
