t_ns,id,duration_ns
328863600,step.socket.send,63100
1059409200,step.socket.parse,42708700
1059409200,step.socket.wait,733567400
1061679300,step.unity.apply,1001800
1061679300,step.unity.e2e,735837500
1061946100,step.socket.send,99400
1217548300,step.socket.parse,718900
1217548300,step.socket.wait,155834500
1217800900,step.unity.apply,231000
1217800900,step.unity.e2e,156087100
1218026100,step.socket.send,25900
1416722100,step.socket.parse,498200
1416722100,step.socket.wait,198905000
1416783800,step.unity.apply,40600
1416783800,step.unity.e2e,198966700
1416904600,step.socket.send,22500
1616483700,step.socket.parse,528800
1616483700,step.socket.wait,199689300
1616537300,step.unity.apply,31000
1616537300,step.unity.e2e,199742900
1616647700,step.socket.send,20800
1816205800,step.socket.parse,367500
1816205800,step.socket.wait,199660200
1816246300,step.unity.apply,24300
1816246300,step.unity.e2e,199700700
1816308000,step.socket.send,11300
2017059200,step.socket.parse,557600
2017059200,step.socket.wait,200807300
2017122100,step.unity.apply,37200
2017122100,step.unity.e2e,200870200
2017887400,step.socket.send,19700
2216354000,step.socket.parse,363500
2216354000,step.socket.wait,198580200
2216399500,step.unity.apply,28400
2216399500,step.unity.e2e,198625700
2216465800,step.socket.send,10900
2416005600,step.socket.parse,324000
2416005600,step.socket.wait,199599600
2416048300,step.unity.apply,28700
2416048300,step.unity.e2e,199642300
2416098800,step.socket.send,7800
2615810400,step.socket.parse,327900
2615810400,step.socket.wait,199756500
2615844300,step.unity.apply,20400
2615844300,step.unity.e2e,199790400
2615896200,step.socket.send,8000
2816223200,step.socket.parse,355600
2816223200,step.socket.wait,200373800
2816260900,step.unity.apply,22700
2816260900,step.unity.e2e,200411500
2816317000,step.socket.send,8200
3015874600,step.socket.parse,328800
3015874600,step.socket.wait,199608400
3015910300,step.unity.apply,21700
3015910300,step.unity.e2e,199644100
3015965900,step.socket.send,7900
3216179900,step.socket.parse,340700
3216179900,step.socket.wait,200264200
3216224200,step.unity.apply,22900
3216224200,step.unity.e2e,200308500
3216276500,step.socket.send,7900
3416241400,step.socket.parse,353300
3416241400,step.socket.wait,200011900
3416281300,step.unity.apply,24200
3416281300,step.unity.e2e,200051800
3416345100,step.socket.send,11400
3615988700,step.socket.parse,341600
3615988700,step.socket.wait,199701700
3616026600,step.unity.apply,22900
3616026600,step.unity.e2e,199739600
3616106900,step.socket.send,10100
3816346400,step.socket.parse,360300
3816346400,step.socket.wait,200299700
3816389700,step.unity.apply,27100
3816389700,step.unity.e2e,200343000
3816475600,step.socket.send,16500
4016084700,step.socket.parse,346000
4016084700,step.socket.wait,199686400
4016123500,step.unity.apply,23400
4016123500,step.unity.e2e,199725200
4016185100,step.socket.send,12000
4216236800,step.socket.parse,346600
4216236800,step.socket.wait,200107400
4216277300,step.unity.apply,25000
4216277300,step.unity.e2e,200147900
4216337700,step.socket.send,10100
4416436800,step.socket.parse,393700
4416436800,step.socket.wait,200154000
4416633600,step.unity.apply,30000
4416633600,step.unity.e2e,200350800
4416715100,step.socket.send,17400
4616195100,step.socket.parse,353000
4616195100,step.socket.wait,199555300
4616234000,step.unity.apply,23300
4616234000,step.unity.e2e,199594200
4616297600,step.socket.send,10800
4816147400,step.socket.parse,351400
4816147400,step.socket.wait,199907900
4816188900,step.unity.apply,23000
4816188900,step.unity.e2e,199949400
4816255300,step.socket.send,13600
5016108900,step.socket.parse,364200
5016108900,step.socket.wait,199914500
5016148300,step.unity.apply,23200
5016148300,step.unity.e2e,199953900
5016211900,step.socket.send,12200
5216278100,step.socket.parse,357500
5216278100,step.socket.wait,200124300
5216318100,step.unity.apply,23700
5216318100,step.unity.e2e,200164300
5216392200,step.socket.send,15400
5416378000,step.socket.parse,387400
5416378000,step.socket.wait,200054000
5416424300,step.unity.apply,28300
5416424300,step.unity.e2e,200100300
5416526300,step.socket.send,20900
5616216500,step.socket.parse,359400
5616216500,step.socket.wait,199776000
5616257100,step.unity.apply,24800
5616257100,step.unity.e2e,199816600
5616319600,step.socket.send,11700
5816449200,step.socket.parse,401400
5816449200,step.socket.wait,200186400
5816496900,step.unity.apply,28600
5816496900,step.unity.e2e,200234100
5816600300,step.socket.send,24300
6016184300,step.socket.parse,340400
6016184300,step.socket.wait,199679700
6016221100,step.unity.apply,22500
6016221100,step.unity.e2e,199716500
6016274400,step.socket.send,8200
6216508500,step.socket.parse,352000
6216508500,step.socket.wait,200281900
6216547000,step.unity.apply,22700
6216547000,step.unity.e2e,200320400
6216611400,step.socket.send,11100
