t_ns,id,duration_ns
-30,step.compute,20
-20,step.service,0
-20,step.compute,20
-20,step.service,-11
0,step.compute,20
0,step.service,10
-20,step.compute,10
-29,step.service,-10
-20,step.compute,-20
-20,step.service,-80
-20,step.compute,10
-19,step.service,-81
-20,step.compute,20
-20,step.service,-80
-20,step.compute,30
-20,step.service,-170
-30,step.compute,10
110,step.service,-20
-20,step.compute,30
-30,step.service,-10
40,step.compute,190
30,step.service,-210
-30,step.compute,20
-30,step.service,0
20,step.compute,90
20,step.service,50
-20,step.compute,69
101,step.service,0
-20,step.compute,20
-20,step.service,-110
20,step.compute,99
21,step.service,40
0,step.compute,59
-10,step.service,-10
-30,step.compute,10
80,step.service,-111
-20,step.compute,30
10,step.service,-10
-30,step.compute,30
20,step.service,-170
-10,step.compute,40
-10,step.service,-80
0,step.compute,61
20,step.service,-80
-30,step.compute,30
-20,step.service,0
-20,step.compute,30
-20,step.service,0
-10,step.compute,40
10,step.service,0
-20,step.compute,10
-20,step.service,-1
-30,step.compute,30
-30,step.service,-200
-20,step.compute,30
20,step.service,-80
20,step.compute,81
361,step.service,-31
-30,step.compute,30
-30,step.service,-40
-20,step.compute,30
80,step.service,-9
-20,step.compute,30
40,step.service,10
-30,step.compute,40
-20,step.service,-20
30,step.compute,30
20,step.service,-10
-10,step.compute,70
-10,step.service,-240
-30,step.compute,20
-30,step.service,-80
-20,step.compute,30
-30,step.service,-309
-30,step.compute,20
171,step.service,-10
-29,step.compute,20
30,step.service,-10
-20,step.compute,20
-20,step.service,-60
-20,step.compute,40
-20,step.service,0
-20,step.compute,10
-20,step.service,-10
-19,step.compute,30
-20,step.service,0
-30,step.compute,10
-30,step.service,-270
-30,step.compute,30
-30,step.service,-301
20,step.compute,110
20,step.service,40
-20,step.compute,10
71,step.service,-131
-20,step.compute,40
201,step.service,10
-20,step.compute,40
80,step.service,-20
-10,step.compute,40
0,step.service,0
-30,step.compute,20
-30,step.service,-161
-30,step.compute,20
-19,step.service,-110
-19,step.compute,221
20,step.service,-110
-30,step.compute,30
-30,step.service,-311
-20,step.compute,50
-20,step.service,-10
-30,step.compute,30
-30,step.service,-50
-10,step.compute,30
-10,step.service,-10
-20,step.compute,20
30,step.service,0
-20,step.compute,40
-20,step.service,-240
0,step.compute,10
-10,step.service,-40
-20,step.compute,20
-19,step.service,-149
-30,step.compute,40
80,step.service,-101
-19,step.compute,40
-20,step.service,-10
-30,step.compute,40
-20,step.service,-111
-30,step.compute,20
-30,step.service,-80
-20,step.compute,30
-20,step.service,-150
-20,step.compute,40
-30,step.service,-151
-20,step.compute,19
-20,step.service,0
-30,step.compute,30
