t_ns,id,duration_ns
14149050368,step.compute,65324959
14158648927,step.service,75561140
15224377803,step.compute,5155746
15225356762,step.service,6169470
15470781348,step.compute,8495587
15471861467,step.service,9618356
15666916594,step.compute,4805982
15667487111,step.service,5412235
15871836328,step.compute,4261575
15872463390,step.service,4925576
16065687245,step.compute,3769064
16066334404,step.service,4433736
16284281014,step.compute,4985177
16284869785,step.service,5599826
16462902799,step.compute,2747796
16463426277,step.service,3295158
16661334115,step.compute,3290239
16661847424,step.service,3828936
16862188179,step.compute,2916621
16862677073,step.service,3440691
17063405893,step.compute,2217815
17063864209,step.service,2697772
17260473590,step.compute,2467291
17260927629,step.service,2953891
17462335719,step.compute,2484594
17462740134,step.service,2908686
17663249644,step.compute,2490124
17663841159,step.service,3100033
17864442490,step.compute,2592094
17864868606,step.service,3045191
18062682067,step.compute,1858934
18063111259,step.service,2309156
18263429050,step.compute,2636558
18263910951,step.service,3143786
18464619402,step.compute,1558583
18465317647,step.service,2279200
18667871786,step.compute,1993275
18668323020,step.service,2471279
18866411653,step.compute,2650193
18866845264,step.service,3101236
19067503390,step.compute,1972286
19067912745,step.service,2393964
19265562999,step.compute,1798952
19266214667,step.service,2474665
19466175660,step.compute,1444940
19466486411,step.service,1773545
19667615446,step.compute,1688435
19668159273,step.service,2296613
19866764832,step.compute,1251018
19867322985,step.service,1817748
20059077890,step.compute,2366102
20059612259,step.service,2922041
20260677505,step.compute,1168073
20261037979,step.service,1540930
20474859194,step.compute,1136213
20475272026,step.service,1562560
20677201606,step.compute,1779656
20677653310,step.service,2264392
20868302228,step.compute,1795676
20868766576,step.service,2313013
21069429789,step.compute,1784414
21069820650,step.service,2189312
21267728754,step.compute,1149648
21268150172,step.service,1583099
21467860845,step.compute,1159537
21468320995,step.service,1633543
21671322157,step.compute,1685660
21671640262,step.service,2029273
21868839491,step.compute,1132507
21869118953,step.service,1431826
22068832731,step.compute,1346737
22069210216,step.service,1760119
22269904176,step.compute,1428940
22270265802,step.service,1801286
22469279793,step.compute,1769768
22469581707,step.service,2092200
22672622242,step.compute,2216262
22673061342,step.service,2666894
22871439513,step.compute,1858042
22871864197,step.service,2299538
23069796885,step.compute,1372224
23070276402,step.service,1863543
