t_ns,id,duration_ns
1319200,step.native.call,405600
1641700,step.native.parse,317900
211979900,step.native.call,191000
211992800,step.native.parse,12800
212010500,step.unity.e2e,223100
1344931500,step.native.call,402100
1344951600,step.native.parse,19800
1344977300,step.unity.e2e,448300
1538748300,step.native.call,268600
1538763500,step.native.parse,15100
1538780900,step.unity.e2e,301500
1737921200,step.native.call,296300
1737933800,step.native.parse,12500
1737954600,step.unity.e2e,330000
1947173900,step.native.call,481400
1947198500,step.native.parse,24400
1947232900,step.unity.e2e,541000
2144926600,step.native.call,272300
2144939500,step.native.parse,12800
2144958500,step.unity.e2e,304600
2346441000,step.native.call,326300
2346453400,step.native.parse,12200
2346482800,step.unity.e2e,368600
2549225800,step.native.call,201500
2549243700,step.native.parse,17800
2549277000,step.unity.e2e,253000
2754518700,step.native.call,387500
2754529700,step.native.parse,10800
2754548300,step.unity.e2e,417400
2949878100,step.native.call,210500
2949886300,step.native.parse,8100
2949917900,step.unity.e2e,250600
3142268400,step.native.call,284100
3142281400,step.native.parse,12900
3142296400,step.unity.e2e,312300
3343093700,step.native.call,394600
3343116000,step.native.parse,22000
3343147800,step.unity.e2e,448900
3546564500,step.native.call,441200
3546584700,step.native.parse,19900
3546615700,step.unity.e2e,492600
3756883300,step.native.call,349300
3756897400,step.native.parse,13900
3756915900,step.unity.e2e,382200
3946680100,step.native.call,227500
3946689900,step.native.parse,9700
3946706500,step.unity.e2e,254100
4142552500,step.native.call,413700
4142577700,step.native.parse,24800
4142616600,step.unity.e2e,478100
4342790100,step.native.call,282200
4342800100,step.native.parse,9900
4342949400,step.unity.e2e,441900
4544026800,step.native.call,216700
4544035700,step.native.parse,8800
4544051500,step.unity.e2e,241600
4742816400,step.native.call,399700
4742831000,step.native.parse,14500
4742856400,step.unity.e2e,440000
4933113700,step.native.call,323700
4933131200,step.native.parse,17300
4933158400,step.unity.e2e,368700
5140405200,step.native.call,272300
5140415200,step.native.parse,9900
5140440500,step.unity.e2e,308100
5339358400,step.native.call,251000
5339372900,step.native.parse,14400
5339395500,step.unity.e2e,288500
5538836800,step.native.call,222700
5538850500,step.native.parse,13600
5538870500,step.unity.e2e,256700
5737994900,step.native.call,628400
5738010500,step.native.parse,15300
5738039200,step.unity.e2e,672900
5932516200,step.native.call,337700
5932539100,step.native.parse,22800
5932565100,step.unity.e2e,387000
6139661000,step.native.call,223100
6139670800,step.native.parse,9700
6139687100,step.unity.e2e,249500
6338671900,step.native.call,417300
6338681900,step.native.parse,9800
6338700300,step.unity.e2e,445900
6545221000,step.native.call,338600
6545230500,step.native.parse,9400
6545247000,step.unity.e2e,365000
6744159300,step.native.call,347500
6744170300,step.native.parse,10900
6744187400,step.unity.e2e,375800
6944575100,step.native.call,303200
6944591700,step.native.parse,16600
6944621400,step.unity.e2e,349700
7156036900,step.native.call,179900
7156045200,step.native.parse,8200
7156059400,step.unity.e2e,202600
7361136400,step.native.call,557200
7361158800,step.native.parse,22200
7361186700,step.unity.e2e,608100
7542634700,step.native.call,542600
7542651800,step.native.parse,16900
7542671600,step.unity.e2e,579800
7745472900,step.native.call,636100
7745498500,step.native.parse,25300
7745532800,step.unity.e2e,697400
7940792800,step.native.call,564000
7940810900,step.native.parse,17800
7940842200,step.unity.e2e,613900
8138921900,step.native.call,382100
8138938200,step.native.parse,16100
8138967700,step.unity.e2e,428200
8351032000,step.native.call,636900
8351049600,step.native.parse,17200
8351081800,step.unity.e2e,687200
8533783200,step.native.call,457100
8533805100,step.native.parse,21600
8533836900,step.unity.e2e,511300
8736898600,step.native.call,385100
8736909100,step.native.parse,10400
8736926800,step.unity.e2e,413600
8935759400,step.native.call,419100
8935774500,step.native.parse,14900
8935818000,step.unity.e2e,478100
9132365300,step.native.call,520000
9132384900,step.native.parse,19300
9132434100,step.unity.e2e,589300
9333349600,step.native.call,427100
9333366300,step.native.parse,16400
9333397600,step.unity.e2e,475600
9538101600,step.native.call,480500
9538119100,step.native.parse,17300
9538154400,step.unity.e2e,533900
9733933500,step.native.call,423700
9733951800,step.native.parse,18000
9733984400,step.unity.e2e,475400
9951255100,step.native.call,451100
9951273000,step.native.parse,17700
9951306000,step.unity.e2e,502500
10150048900,step.native.call,412800
10150060700,step.native.parse,11700
10150081400,step.unity.e2e,445600
10349402600,step.native.call,352900
10349416500,step.native.parse,13700
10349447300,step.unity.e2e,397900
10539139900,step.native.call,402800
10539158700,step.native.parse,18500
10539194600,step.unity.e2e,458000
10749166700,step.native.call,440400
10749186100,step.native.parse,19100
10749220300,step.unity.e2e,494800
10938812800,step.native.call,446500
10938823100,step.native.parse,10200
10938839800,step.unity.e2e,473900
11148888700,step.native.call,421500
11148911400,step.native.parse,22400
11148941200,step.unity.e2e,474500
11359587300,step.native.call,451000
11359609700,step.native.parse,22100
11359641300,step.unity.e2e,505500
11538142900,step.native.call,274100
11538158000,step.native.parse,15000
11538174700,step.unity.e2e,306300
11733564300,step.native.call,241700
11733576400,step.native.parse,12000
11733594300,step.unity.e2e,272100
11934204100,step.native.call,203000
11934215200,step.native.parse,11000
11934230200,step.unity.e2e,229400
12132802800,step.native.call,183100
12132812400,step.native.parse,9500
12132826700,step.unity.e2e,207200
12332706000,step.native.call,207600
12332715300,step.native.parse,9200
12332732200,step.unity.e2e,234100
12553978000,step.native.call,275900
12553988700,step.native.parse,10500
12554011800,step.unity.e2e,310100
12749356500,step.native.call,396300
12749371500,step.native.parse,14800
12749411100,step.unity.e2e,451400
12935402700,step.native.call,389600
12935415500,step.native.parse,12500
12935462600,step.unity.e2e,449800
13146355400,step.native.call,445500
13146374700,step.native.parse,19000
13146406000,step.unity.e2e,496600
13346514800,step.native.call,487400
13346537100,step.native.parse,22000
